epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,1145.23,3.35853,7.02277,1.28116,0.00013,0.00036,8e-05,2e-05,3.16794,5.92064,1.3107,1.39552e-05,1.39552e-05,1.39552e-05
154,1152.6,3.29991,6.93968,1.28631,0.00016,0.00051,8e-05,2e-05,3.15955,5.90821,1.30245,1.38628e-05,1.38628e-05,1.38628e-05
155,1159.89,3.34495,6.85778,1.27563,0.0002,0.00055,0.00011,2e-05,3.15829,5.90243,1.30278,1.37704e-05,1.37704e-05,1.37704e-05
156,1166.95,3.37107,7.0475,1.28136,0.00025,0.00059,0.00013,3e-05,3.1496,5.89292,1.2976,1.3678e-05,1.3678e-05,1.3678e-05
157,1174.08,3.38331,6.91502,1.29062,0.00014,0.00037,8e-05,2e-05,3.14929,5.89585,1.29998,1.35856e-05,1.35856e-05,1.35856e-05
158,1181.27,3.43321,6.85336,1.26761,0.0002,0.00042,0.00011,2e-05,3.15052,5.89427,1.29923,1.34932e-05,1.34932e-05,1.34932e-05
159,1188.48,3.28121,6.87607,1.27579,0.00019,0.00063,0.0001,2e-05,3.13018,5.86099,1.28952,1.34008e-05,1.34008e-05,1.34008e-05
160,1195.76,3.33233,6.85413,1.27694,0.00015,0.00041,8e-05,2e-05,3.13712,5.87889,1.29576,1.33084e-05,1.33084e-05,1.33084e-05
161,1203.11,3.30877,6.89675,1.2628,0.00014,0.00041,8e-05,2e-05,3.15993,5.89869,1.30644,1.3216e-05,1.3216e-05,1.3216e-05
162,1210.39,3.30464,6.84989,1.26784,0.0003,0.00036,0.00015,6e-05,3.1573,5.90544,1.30933,1.31236e-05,1.31236e-05,1.31236e-05
163,1217.91,3.42678,6.77396,1.26871,0.0003,0.00021,0.00015,6e-05,3.16949,5.91898,1.31788,1.30312e-05,1.30312e-05,1.30312e-05
164,1225.16,3.3327,7.01403,1.26224,0.00011,0.00039,6e-05,2e-05,3.15243,5.8894,1.30662,1.29388e-05,1.29388e-05,1.29388e-05
165,1232.48,3.39036,6.90747,1.26747,0.00013,0.00044,7e-05,2e-05,3.13929,5.87525,1.29723,1.28464e-05,1.28464e-05,1.28464e-05
166,1240.02,3.37485,6.81091,1.2815,0.00011,0.00039,7e-05,2e-05,3.14288,5.88632,1.30044,1.2754e-05,1.2754e-05,1.2754e-05
167,1247.13,3.32246,6.95144,1.28325,0.00017,0.00047,0.0001,2e-05,3.14998,5.88001,1.30626,1.26616e-05,1.26616e-05,1.26616e-05
168,1254.16,3.29513,6.86087,1.26308,0.00042,0.00043,0.00023,3e-05,3.11453,5.85791,1.28457,1.25692e-05,1.25692e-05,1.25692e-05
169,1261.26,3.42305,6.82157,1.2752,9e-05,0.00049,5e-05,1e-05,3.14667,5.89041,1.30659,1.24768e-05,1.24768e-05,1.24768e-05
170,1268.24,3.30491,6.79616,1.26327,0.00012,0.00057,7e-05,2e-05,3.12222,5.86808,1.2921,1.23844e-05,1.23844e-05,1.23844e-05
